m01oak00001CC	AT5G62080
m01oak04723cC	AT1G70890
m01oak04724cC	AT1G73270
m01oak04725CC	AT3G13690
m01oak04726cC	AT1G43900
m01oak04728cC	AT1G26940
m01oak04734CC	AT3G02720
m01oak04735JT	AT2G40950
m01oak04736CC	AT2G40650
m01oak04737CC	AT5G67320
m01oak04740Cc	AT5G15410
m01oak04743CC	AT4G39970
m01oak04744Cf	AT3G57800
m01oak04745CC	AT3G05760
m01oak04746cC	AT4G03110
m01oak04747JC	AT4G35920
m01oak04748Ct	AT5G61880
m01oak04749cC	AT1G33970
m01oak04750CC	AT1G76150
m01oak04753CC	AT1G05350
m01oak04754cC	AT5G03455
m01oak04757CC	AT1G01910
m01oak04760ct	AT2G04530
m01oak04761CC	AT2G31570
m01oak04762cC	AT1G79050
m01oak04763cF	AT2G27100
m01oak04764CC	AT5G18610
m01oak04767cC	AT5G51040
m01oak04768cC	AT1G26850
m01oak04770cF	AT5G47820
m01oak04775cC	AT5G11340
m01oak04776CC	AT4G31460
m01oak04777CC	AT4G01290
m01oak04779CC	AT1G13030
m01oak04780cC	AT4G28780
m01oak04781cI	AT1G01320
m01oak04784cC	AT2G38610
m01oak04786CC	AT2G42990
m01oak04790Ct	AT3G10060
m01oak04793cC	AT2G33620
m01oak04794CT	AT2G38000
m01oak04795cc	AT4G29010
m01oak04796Ct	AT4G16845
m01oak04797CC	AT3G52660
m01oak04799CC	AT5G24810
m01oak04801cC	AT5G26680
m01oak04802CC	AT2G44680
m01oak04803Cc	AT5G60450
m01oak04804CC	AT3G15430
m01oak04805CC	AT2G32700
m01oak04806jC	AT2G28470
m01oak04807CC	AT1G47330
m01oak04808cC	AT1G22790
m01oak04809cC	AT1G44820
m01oak04811Ct	AT2G41950
m01oak04814cF	AT5G35910
m01oak04815CC	AT5G13950
m01oak04816cm	AT1G25540
m01oak04817Ct	AT1G64680
m01oak04822CT	AT1G19990
m01oak04823CC	AT3G07100
m01oak04829cC	AT1G18340
m01oak04832CC	AT1G13690
m01oak04835cC	AT5G42920
m01oak04842cC	AT5G65930
m01oak04843cC	AT1G63780
m01oak04846cC	AT4G34660
m01oak04847sC	AT2G04845
m01oak04848CC	AT3G17609
m01oak04849ct	AT2G24820
m01oak04850cC	AT2G03820
m01oak04852cC	AT4G22540
m01oak04854CC	AT1G79830
m01oak04856cC	AT1G62440
m01oak04857cC	AT2G39940
m01oak04860CT	AT3G18380
m01oak04861cC	AT2G43790
m01oak04867CC	AT3G54090
m01oak04869cC	AT3G01860
m01oak04870cF	AT5G58430
m01oak04871CC	AT3G20820
m01oak04872jc	AT1G20920
m01oak04877cC	AT5G53930
m01oak04878CC	AT4G03080
m01oak04879cC	AT4G28610
m01oak04882sC	AT1G01080
m01oak04886Ct	AT3G10220
m01oak04887CC	AT1G80210
m01oak04894cC	AT5G03280
m01oak04896cC	AT4G19150
m01oak04900cF	AT1G08190
m01oak04902sC	AT5G10920
m01oak04903cC	AT5G48930
m01oak04904cC	AT5G20190
m01oak04905cF	AT1G03950
m01oak04907JT	AT3G08020
m01oak04910cC	AT1G43190
m01oak04911cC	AT1G06570
m01oak04912CC	AT3G16000
m01oak04915cC	AT3G16830
m01oak04916jC	AT5G13030
m01oak04917cF	AT1G64790
m01oak04918cC	AT1G05430
m01oak04920JC	AT3G54670
m01oak04921cC	AT4G17230
m01oak04922CC	AT3G48420
m01oak04925CC	AT3G26380
m01oak04926CC	AT1G20760
m01oak04928St	AT5G47630
m01oak04929CC	AT2G18280
m01oak04930ct	AT1G61900
m01oak04934CC	AT3G54040
m01oak04937CC	AT5G62550
m01oak04939CC	AT1G58030
m01oak04940Cf	AT5G42620
m01oak04945cc	AT3G23700
m01oak04946cF	AT1G07950
m01oak04947cC	AT1G12650
m01oak04949cC	AT5G51280
m01oak04951cF	AT3G14860
m01oak04954cC	AT3G11540
m01oak04955cC	AT3G19650
m01oak04956sC	AT3G16810
m01oak04959cC	AT1G10180
m01oak04960cm	AT2G05630
m01oak04965CC	AT3G44735
m01oak04966CF	AT3G52140
m01oak04969cc	AT1G12640
m01oak04970cC	AT5G22070
m01oak04971Cf	AT5G57690
m01oak04974cF	AT5G43310
m01oak04975cC	AT1G48790
m01oak04976CC	AT5G53850
m01oak04977cC	AT3G09250
m01oak04978cC	AT2G19950
m01oak04979CC	AT1G28680
m01oak04981cC	AT4G38470
m01oak04982cC	AT3G14680
m01oak04983CF	AT2G35155
m01oak04984CF	AT1G10390
m01oak04986Ct	AT5G22950
m01oak04988cC	AT1G34190
m01oak04990cf	AT3G07160
m01oak04994cC	AT3G13860
m01oak04995cC	AT1G72480
m01oak04996cC	AT3G22990
m01oak05001Ct	AT2G04360
m01oak05002cC	AT5G42940
m01oak05005cC	AT2G16950
m01oak05006JC	AT5G08650
m01oak05008cC	AT3G12570
m01oak05009cT	AT5G17380
m01oak05014Cm	AT3G23760
m01oak05015CC	AT3G17120
m01oak05016CC	AT2G34450
m01oak05017Ct	AT1G77800
m01oak05019ct	AT5G60980
m01oak05020CC	AT5G14170
m01oak05021CC	AT2G33590
m01oak05022cC	AT3G13040
m01oak05023cC	AT5G35080
m01oak05024St	AT1G36390
m01oak05025CC	AT1G79440
m01oak05026cC	AT1G48110
m01oak05027cC	AT1G34640
m01oak05028CC	AT1G64050
m01oak05029cC	AT4G07960
m01oak05031cC	AT5G66460
m01oak05035CC	AT3G27950
m01oak05036cC	AT3G01910
m01oak05038CC	AT5G67630
m01oak05039cC	AT3G53110
m01oak05040CF	AT3G19340
m01oak05041Cz	AT1G12390
m01oak05042cC	AT2G33860
m01oak05044cF	AT3G07565
m01oak05054cf	AT1G48520
m01oak05055Ct	AT1G71730
m01oak05056cM	AT1G75330
m01oak05060CT	AT4G03390
m01oak05061cC	AT5G47900
m01oak05062CC	AT2G40550
m01oak05068cC	AT2G35110
m01oak05069jt	AT5G61840
m01oak05072cC	AT5G55610
m01oak05073CC	AT3G06010
m01oak05074jC	AT5G57300
m01oak05076CC	AT2G19540
m01oak05077CC	AT1G16870
m01oak05079cC	AT3G55530
m01oak05081cC	AT4G32140
m01oak05082CC	AT3G13750
m01oak05084CC	AT4G34960
m01oak05085JC	AT2G25490
m01oak05087CF	AT1G30440
m01oak05088cC	AT4G07410
m01oak05089cC	AT4G31430
m01oak05091cC	AT5G57030
m01oak05094sC	AT1G72090
m01oak05096CC	AT1G06850
m01oak05099CT	AT5G14220
m01oak05100CC	AT4G18905
m01oak05101CC	AT5G02970
m01oak05102CC	AT3G58690
m01oak05104Cz	AT4G33160
m01oak05105CC	AT2G12400
m01oak05106cC	AT5G18420
m01oak05107Cc	AT3G16270
m01oak05108cC	AT5G06710
m01oak05112cC	AT1G80500
m01oak05113cC	AT4G25780
m01oak05114CT	AT5G17690
m01oak05115CT	AT3G17850
m01oak05116cC	AT3G08670
m01oak05118CC	AT4G24380
m01oak05119cf	AT5G46210
m01oak05120Cc	AT1G76405
m01oak05121cC	AT5G26570
m01oak05122CC	AT2G24260
m01oak05124Cf	AT2G36990
m01oak05125cC	AT3G54620
m01oak05126CC	AT3G44050
m01oak05127CC	AT2G03350
m01oak05129CC	AT4G27760
m01oak05130cf	AT2G32600
m01oak05132cC	AT3G27860
m01oak05133CF	AT1G68410
m01oak05135cC	AT5G01590
m01oak05136Ct	AT4G33210
m01oak05140CC	AT5G27840
m01oak05141cC	AT3G60830
m01oak05143CC	AT5G28350
m01oak05147cC	AT5G19680
m01oak05149CT	AT1G71860
m01oak05151cC	AT1G30135
m01oak05153CC	AT2G46500
m01oak05154cC	AT3G10050
m01oak05155cF	AT4G32730
m01oak05156cC	AT3G07950
m01oak05158cC	AT2G29890
m01oak05161CC	AT1G14900
m01oak05162Ct	AT1G03470
m01oak05164CC	AT5G57180
m01oak05168cC	AT1G01260
m01oak05169cC	AT5G54510
m01oak05170CT	AT3G12300
m01oak05171cC	AT3G16730
m01oak05173cC	AT5G36210
m01oak05176Cf	AT4G35800
m01oak05178Ct	AT2G35680
m01oak05183CF	AT3G26935
m01oak05184cC	AT5G18130
m01oak05185cF	AT1G15140
m01oak05190CC	AT3G07760
m01oak05191cC	AT2G44150
m01oak05193cf	AT5G04740
m01oak05194cC	AT3G60320
m01oak05196cC	AT3G22430
m01oak05198CC	AT2G26180
m01oak05199CC	AT5G41190
m01oak05201CC	AT5G06750
m01oak05202CC	AT5G40870
m01oak05203cC	AT2G42490
m01oak05204Ct	AT3G21670
m01oak05205cC	AT5G66880
m01oak05207cC	AT1G09870
m01oak05208CC	AT1G34780
m01oak05211cC	AT1G12230
m01oak05212cC	AT5G49160
m01oak05213cT	AT4G35335
m01oak05216cC	AT4G01690
m01oak05217cC	AT2G36910
m01oak05218cC	AT4G11610
m01oak05220CC	AT2G25620
m01oak05222CC	AT3G11450
m01oak05223cC	AT4G12340
m01oak05224CC	AT3G20290
m01oak05226cf	AT2G35720
m01oak05229CC	AT2G35410
m01oak05230CC	AT5G12850
m01oak05231cC	AT2G35050
m01oak05232cC	AT3G05330
m01oak05233ci	AT1G45976
m01oak05235sC	AT4G33640
m01oak05236cC	AT1G18190
m01oak05237cC	AT3G07640
m01oak05239CC	AT5G53800
m01oak05240cC	AT1G32550
m01oak05241CC	AT5G05200
m01oak05242cC	AT4G02120
m01oak05247cf	AT3G62010
m01oak05250CT	AT5G13690
m01oak05251CC	AT5G63970
m01oak05255CC	AT5G25590
m01oak05256cC	AT1G24120
m01oak05257cT	AT5G27490
m01oak05258cC	AT5G12210
m01oak05259CC	AT5G12010
m01oak05260cC	AT3G19950
m01oak05261cC	AT5G35690
m01oak05263CC	AT1G43580
m01oak05264cf	AT1G80380
m01oak05272cF	AT3G59840
m01oak05274CC	AT2G40890
m01oak05277cC	AT2G47330
m01oak05278CC	AT1G08550
m01oak05280cC	AT4G32640
m01oak05282CC	AT1G02150
m01oak05284CC	AT5G49630
m01oak05285cC	AT5G04510
m01oak05286cC	AT1G79200
m01oak05288cC	AT1G13170
m01oak05291cf	AT5G36170
m01oak05293cC	AT5G66470
m01oak05295CC	AT1G69560
m01oak05299CF	AT5G59210
m01oak05303cC	AT4G34100
m01oak05306cC	AT5G67460
m01oak05308cf	AT3G14110
m01oak05309cC	AT5G57970
m01oak05310CC	AT1G02330
m01oak05312CT	AT3G24180
m01oak05313CC	AT1G17980
m01oak05314CC	AT1G71110
m01oak05315cC	AT1G63810
m01oak05316CC	AT5G19620
m01oak05317CC	AT2G44510
m01oak05318cC	AT5G17330
m01oak05319JC	AT1G19835
m01oak05321CC	AT4G08900
m01oak05322CC	AT5G17790
m01oak05323cC	AT1G60060
m01oak05325cC	AT4G38620
m01oak05326jC	AT1G33360
m01oak05328CC	AT2G20860
m01oak05330CC	AT4G37680
m01oak05331CC	AT4G14147
m01oak05332JC	AT3G06550
m01oak05334cC	AT5G16270
m01oak05337jC	AT1G11480
m01oak05340CC	AT3G22890
m01oak05341CC	AT3G52200
m01oak05342CC	AT3G57320
m01oak05343CC	AT4G21450
m01oak05344CC	AT5G19485
m01oak05345cC	AT5G59250
m01oak05346Ci	AT2G31305
m01oak05347cf	AT4G27880
m01oak05349cC	AT3G07890
m01oak05351CF	AT1G27520
m01oak05354cC	AT1G72180
m01oak05355CC	AT3G60860
m01oak05356cC	AT1G16900
m01oak05357CC	AT5G22400
m01oak05358cf	AT2G33990
m01oak05359CI	AT4G16340
m01oak05361CF	AT1G12360
m01oak05364CI	AT4G01810
m01oak05365CC	AT5G17840
m01oak05367cC	AT4G30100
m01oak05368cC	AT3G17430
m01oak05372CF	AT3G03600
m01oak05375jC	AT5G64420
m01oak05383sC	AT2G03430
m01oak05387cC	AT3G19240
m01oak05391ct	AT5G39790
m01oak05393CC	AT4G24550
m01oak05395CC	AT3G52110
m01oak05397CC	AT1G48140
m01oak05398cC	AT2G30050
m01oak05399cF	AT3G10140
m01oak05402cC	AT4G00090
m01oak05403cc	AT1G03090
m01oak05404CC	AT4G02400
m01oak05405CC	AT3G63300
m01oak05406jC	AT2G27460
m01oak05408CC	AT3G53140
m01oak05410cC	AT5G59770
m01oak05415CC	AT1G16240
m01oak05420CC	AT4G24270
m01oak05422cC	AT5G51970
m01oak05423cC	AT4G01470
m01oak05424CC	AT5G12370
m01oak05425CC	AT1G11260
m01oak05426CF	AT1G06660
m01oak05428cC	AT3G46510
m01oak05431ct	AT5G60540
m01oak05433cC	AT4G14410
m01oak05435JT	AT5G57035
m01oak05436cC	AT2G44870
m01oak05437cC	AT4G34500
m01oak05439CC	AT5G06270
m01oak05442cC	AT5G20520
m01oak05444cC	AT5G64460
m01oak05445ci	AT3G13330
m01oak05446cC	AT5G44240
m01oak05447cC	AT1G07410
m01oak05448cC	AT4G39630
m01oak05450CC	AT3G47860
m01oak05451cf	AT1G61720
m01oak05455cF	AT4G15110
m01oak05456CC	AT3G11530
m01oak05459CC	AT4G10030
m01oak05461CC	AT5G03540
m01oak05463JC	AT1G44000
m01oak05464CC	AT2G40460
m01oak05465CC	AT5G30490
m01oak05466cC	AT1G31070
m01oak05467CC	AT1G58350
m01oak05468cF	AT1G24560
m01oak05469Cf	AT2G39080
m01oak05470Ct	AT5G57960
m01oak05472cf	AT3G53190
m01oak05473cC	AT2G26210
m01oak05474cC	AT4G26965
m01oak05475cC	AT1G77750
m01oak05479CC	AT1G24267
m01oak05480CC	AT5G19010
m01oak05482cC	AT5G03900
m01oak05484Ct	AT1G13360
m01oak05488Jm	AT4G21585
m01oak05488Jm	AT1G11190
m01oak05491CC	AT2G15570
m01oak05492cF	AT1G33230
m01oak05497cC	AT5G59010
m01oak05498cC	AT2G34670
m01oak05499jC	AT1G73360
m01oak05500cC	AT1G16330
m01oak05501CC	AT3G03060
m01oak05503cC	AT1G55265
m01oak05504cC	AT3G26570
m01oak05505cC	AT3G54010
m01oak05507cF	AT1G43860
m01oak05510CC	AT2G19880
m01oak05511CC	AT4G31720
m01oak05512jC	AT1G72250
m01oak05515cF	AT2G29630
m01oak05518cC	AT2G21220
m01oak05521cF	AT1G73960
m01oak05522cC	AT1G64080
m01oak05523cC	AT4G03020
m01oak05524CF	AT1G07840
m01oak05526CC	AT5G52560
m01oak05529ji	AT5G62650
m01oak05530CC	AT2G27080
m01oak05532CC	AT5G65250
m01oak05534cC	AT4G14240
m01oak05540CC	AT1G16560
m01oak05541CC	AT5G19900
m01oak05542cC	AT4G39660
m01oak05544cC	AT3G54840
m01oak05545cC	AT5G62640
m01oak05550cC	AT5G07980
m01oak05551CC	AT3G01810
m01oak05552CC	AT1G19600
m01oak05553CC	AT3G14930
m01oak05554cC	AT5G66920
m01oak05555cC	AT3G23780
m01oak05557JC	AT3G52500
m01oak05559CC	AT5G52520
m01oak05560Ct	AT2G32090
m01oak05565CC	AT5G60410
m01oak05566cF	AT1G70000
m01oak05567JC	AT3G46630
m01oak05568cf	AT5G41770
m01oak05570CC	AT1G30110
m01oak05573CC	AT4G14570
m01oak05574CC	AT5G65730
m01oak05576Cz	AT2G14835
m01oak05582CC	AT4G24480
m01oak05583cC	AT2G45880
m01oak05584ci	AT4G38650
m01oak05585ct	AT4G39140
m01oak05589cC	AT5G05940
m01oak05590CC	AT3G07630
m01oak05591JC	AT3G28860
m01oak05593cC	AT5G48030
m01oak05594CC	AT3G45010
m01oak05596Ct	AT2G34090
m01oak05597CF	AT2G05830
m01oak05599cC	AT3G46220
m01oak05600CC	AT5G49360
m01oak05601cC	AT5G06830
m01oak05603CC	AT3G19910
m01oak05606cC	AT5G64580
m01oak05607CC	AT3G62940
m01oak05609CC	AT2G21150
m01oak05610cC	AT1G45688
m01oak05611cF	AT5G46880
m01oak05612cC	AT5G18410
m01oak05614cT	AT4G17740
m01oak05615cC	AT2G17890
m01oak05616CC	AT3G54500
m01oak05618jC	AT1G77030
m01oak05620cC	AT3G14850
m01oak05622CC	AT4G37608
m01oak05623cF	AT3G06810
m01oak05625CC	AT3G58490
m01oak05627Cf	AT2G28290
m01oak05631cC	AT4G26470
m01oak05633cc	AT3G55580
m01oak05639Cc	AT5G53480
m01oak05640cC	AT4G34050
m01oak05642CC	AT5G15140
m01oak05644CC	AT1G70280
m01oak05645CC	AT5G65770
m01oak05646cC	AT1G32930
m01oak05647cC	AT1G43700
m01oak05648CC	AT2G38025
m01oak05650cC	AT5G48450
m01oak05654Ct	AT2G14260
m01oak05656cC	AT5G12930
m01oak05657cC	AT2G47890
m01oak05658CC	AT3G26618
m01oak05660CF	AT1G71440
m01oak05661jC	AT1G06720
m01oak05666CC	AT4G01800
m01oak05669cC	AT1G09290
m01oak05671CC	AT4G39120
m01oak05673CC	AT5G13240
m01oak05676CC	AT1G04780
m01oak05677CC	AT2G28450
m01oak05679cC	AT5G17990
m01oak05680cC	AT1G07980
m01oak05681cC	AT1G71010
m01oak05682CC	AT3G44150
m01oak05683Ct	AT4G20300
m01oak05686cC	AT2G01590
m01oak05690sC	AT5G53940
m01oak05691cC	AT4G30935
m01oak05695cC	AT2G39670
m01oak05696cC	AT1G20540
m01oak05698cC	AT1G79730
m01oak05699CC	AT5G08410
m01oak05701CC	AT1G19130
m01oak05702cC	AT3G16520
m01oak05703jC	AT2G20370
m01oak05705cC	AT1G09750
m01oak05707CC	AT5G54380
m01oak05709CC	AT1G48320
m01oak05711ct	AT5G19530
m01oak05712cf	AT4G15960
m01oak05713cC	AT5G11980
m01oak05714cF	AT2G44950
m01oak05717CC	AT2G44830
m01oak05719jC	AT5G47040
m01oak05720cC	AT1G16740
m01oak05724cC	AT3G46100
m01oak05726cC	AT1G70940
m01oak05729CC	AT2G38020
m01oak05730cC	AT4G00900
m01oak05731jC	AT4G30860
m01oak05732cC	AT4G20840
m01oak05733cC	AT1G79000
m01oak05734CT	AT5G28830
m01oak05735CC	AT5G52580
m01oak05737CC	AT5G55260
m01oak05739cC	AT1G68570
m01oak05740cC	AT2G46020
m01oak05742CC	AT1G71750
m01oak05743Ct	AT3G25500
m01oak05744CC	AT2G26260
m01oak05746Ct	AT2G43780
m01oak05748cC	AT2G27450
m01oak05749CC	AT3G27100
m01oak05750CT	AT3G05520
m01oak05752cF	AT2G20190
m01oak05753cC	AT2G40840
m01oak05755cC	AT4G00740
m01oak05756CF	AT5G41880
m01oak05757CF	AT1G13160
m01oak05759CC	AT5G24400
m01oak05761CC	AT5G19910
m01oak05762CC	AT4G34410
m01oak05763cC	AT4G34260
m01oak05766cf	AT3G54680
m01oak05767JC	AT2G38370
m01oak05768cC	AT4G22340
m01oak05769CC	AT3G13224
m01oak05772CC	AT1G06560
m01oak05773CC	AT5G16260
m01oak05775CC	AT1G31660
m01oak05776CC	AT1G20510
m01oak05779jC	AT4G37130
m01oak05781cC	AT3G24840
m01oak05785CC	AT4G27420
m01oak05786CC	AT1G20650
m01oak05787CC	AT3G12810
m01oak05788cC	AT1G14440
m01oak05790cC	AT2G36850
m01oak05793cC	AT5G63940
m01oak05794cC	AT5G64170
m01oak05795cF	AT2G34780
m01oak05798cC	AT3G06730
m01oak05799CC	AT1G15780
m01oak05800cC	AT2G36310
m01oak05802cC	AT3G07810
m01oak05803CC	AT5G50310
m01oak05807cC	AT5G13610
m01oak05808cC	AT5G52820
m01oak05810cC	AT1G04960
m01oak05811cC	AT5G60960
m01oak05812jC	AT1G60995
m01oak05815Ci	AT5G56890
m01oak05823cf	AT4G04770
m01oak05826Ct	AT5G24120
m01oak05827JC	AT5G16715
m01oak05830JC	AT3G03710
m01oak05833ct	AT5G23340
m01oak05836cC	AT5G54160
m01oak05838CC	AT1G11380
m01oak05839cC	AT1G45230
m01oak05840CC	AT2G31060
m01oak05842CC	AT2G21340
m01oak05844CC	AT1G18370
m01oak05845cC	AT4G11420
m01oak05849cC	AT5G60850
m01oak05850jC	AT1G18640
m01oak05853cC	AT5G01960
m01oak05856cC	AT3G59800
m01oak05857CT	AT1G32080
m01oak05861jC	AT5G07240
m01oak05864cC	AT5G61540
m01oak05865ci	AT3G56900
m01oak05869cc	AT3G20650
m01oak05870CF	AT5G60990
m01oak05871Ci	AT1G79280
m01oak05874JT	AT4G27060
m01oak05875ct	AT2G37250
m01oak05876CC	AT2G44900
m01oak05877cC	AT5G15630
m01oak05878CC	AT1G27340
m01oak05879cC	AT2G26230
m01oak05880CC	AT5G57170
m01oak05886CC	AT5G42950
m01oak05887cc	AT1G73460
m01oak05888cC	AT3G56590
m01oak05893CC	AT2G39750
m01oak05895cC	AT4G04850
m01oak05896cC	AT2G42580
m01oak05898CC	AT3G15520
m01oak05900Cc	AT5G04500
m01oak05903cf	AT1G14290
m01oak05905Cf	AT5G50900
m01oak05906cC	AT2G04240
m01oak05909CC	AT5G22360
m01oak05910CC	AT4G28100
m01oak05911JC	AT2G28520
m01oak05912cC	AT4G32250
m01oak05913CC	AT4G36195
m01oak05914CC	AT5G09960
m01oak05916cc	AT1G31817
m01oak05918cC	AT2G45340
m01oak05919cC	AT5G07590
m01oak05921CC	AT5G48630
m01oak05923cC	AT4G28210
m01oak05924CC	AT5G35700
m01oak05926sC	AT1G69800
m01oak05928CT	AT1G70200
m01oak05929CC	AT3G48050
m01oak05930Ct	AT3G62660
m01oak05933CC	AT3G54770
m01oak05938CC	AT1G47740
m01oak05939CC	AT1G27320
m01oak05946cC	AT1G59540
m01oak05950cC	AT3G58170
m01oak05951CC	AT3G50910
m01oak05952cC	AT3G59380
m01oak05953cf	AT5G38760
m01oak05956cf	AT2G27210
m01oak05958CC	AT5G20820
m01oak05959CC	AT1G03080
m01oak05966cC	AT1G80350
m01oak05967CI	AT3G06483
m01oak05968CF	AT5G46740
m01oak05969CC	AT2G41620
m01oak05970Ct	AT1G54500
m01oak05973CC	AT5G40570
m01oak05974ct	AT4G31780
m01oak05975cf	AT5G38900
m01oak05976CT	AT3G13540
m01oak05977cC	AT5G64440
m01oak05978CC	AT1G68300
m01oak05979cT	AT3G63500
m01oak05980CC	AT1G34220
m01oak05981CC	AT1G17650
m01oak05982CC	AT4G02720
m01oak05983cC	AT4G25170
m01oak05985cC	AT2G38185
m01oak05989CC	AT5G24165
m01oak05990jC	AT5G13700
m01oak05991sC	AT4G02800
m01oak05993cC	AT3G10350
m01oak05994cf	AT2G28600
m01oak05996cf	AT2G43110
m01oak05998CF	AT4G33670
m01oak06000CC	AT2G40780
m01oak06001CC	AT1G79690
m01oak06007CC	AT1G55740
m01oak06008cC	AT1G15390
m01oak06009cf	AT5G35670
m01oak06010cC	AT4G09720
m01oak06011cC	AT3G01560
m01oak06014cC	AT3G63130
m01oak06018cC	AT2G46270
m01oak06020CC	AT5G27830
m01oak06024cT	AT5G41350
m01oak06025SC	AT3G51780
m01oak06030cf	AT3G15620
m01oak06033cC	AT3G18524
m01oak06034CC	AT3G12930
m01oak06035cC	AT5G58100
m01oak06039CC	AT5G27450
m01oak06041CC	AT5G14050
m01oak06043jC	AT5G43130
m01oak06044CC	AT3G07930
m01oak06045cC	AT3G43220
m01oak06048cC	AT1G30070
m01oak06049cC	AT3G13490
m01oak06051cT	AT3G30300
m01oak06053cC	AT1G52720
m01oak06055JC	AT2G20050
m01oak06059CC	AT1G72190
m01oak06060cC	AT1G16520
m01oak06061CC	AT3G52910
m01oak06062CM	AT1G79350
m01oak06063cC	AT5G09970
m01oak06064CC	AT2G29560
m01oak06065cC	AT1G63680
m01oak06067cC	AT1G69200
m01oak06068Ct	AT3G17930
m01oak06073CC	AT5G34850
m01oak06074cC	AT2G20120
m01oak06075Cc	AT1G30000
m01oak06078cC	AT5G57710
m01oak06080cC	AT5G58600
m01oak06081cC	AT1G73470
m01oak06083cC	AT5G04990
m01oak06084CC	AT4G27030
m01oak06085cf	AT5G02740
m01oak06086cC	AT5G07670
m01oak06087cF	AT2G42260
m01oak06088cC	AT3G57810
m01oak06089cC	AT3G21220
m01oak06090CC	AT3G50520
m01oak06091cC	AT4G28450
m01oak06092CC	AT1G79390
m01oak06099cT	AT3G27180
m01oak06101JT	AT3G43590
m01oak06102cf	AT5G27390
m01oak06104cC	AT1G31730
m01oak06105cC	AT4G34340
m01oak06106cf	AT1G60620
m01oak06107cF	AT4G32850
m01oak06108ci	AT5G23880
m01oak06109sC	AT3G08720
m01oak06110CC	AT1G80680
m01oak06115cC	AT2G30710
m01oak06119cC	AT4G07990
m01oak06120cT	AT5G67100
m01oak06121CC	AT4G14210
m01oak06122cC	AT1G64760
m01oak06123Cf	AT5G57590
m01oak06124CI	AT4G06634
m01oak06126cC	AT1G61240
m01oak06127cF	AT1G73180
m01oak06135CC	AT5G44030
m01oak06136JC	AT1G79610
m01oak06137cC	AT4G33920
m01oak06138CC	AT5G50960
m01oak06139CC	AT4G20410
m01oak06140Ct	AT3G07880
m01oak06141cC	AT2G38740
m01oak06142cC	AT4G18700
m01oak06143cC	AT4G02940
m01oak06146cC	AT2G47980
m01oak06147CC	AT4G29840
m01oak06148cC	AT3G54650
m01oak06151cC	AT4G27270
m01oak06152CC	AT5G06560
m01oak06153CC	AT1G32900
m01oak06154cC	AT4G02070
m01oak06155cT	AT3G24500
m01oak06158CF	AT5G62810
m01oak06160cC	AT3G01820
m01oak06161cF	AT3G19670
m01oak06162CT	AT3G10380
m01oak06163CC	AT4G27620
m01oak06164cC	AT2G28110
m01oak06165cC	AT4G39690
m01oak06169cC	AT4G36530
m01oak06173CF	AT1G49740
m01oak06174cC	AT2G13370
m01oak06175cC	AT3G63430
m01oak06176cC	AT1G52310
m01oak06177CC	AT2G30280
m01oak06178CC	AT5G04420
m01oak06182CC	AT1G18730
m01oak06183CC	AT1G69040
m01oak06185Cz	AT3G19800
m01oak06191Cc	AT5G42070
m01oak06192cC	AT5G40190
m01oak06193CC	AT4G10110
m01oak06195cC	AT2G21280
m01oak06196ct	AT5G51820
m01oak06197cC	AT3G23280
m01oak06201cC	AT5G59420
m01oak06202Cf	AT4G03510
m01oak06204CC	AT1G33240
m01oak06205CC	AT1G05910
m01oak06206CT	AT5G19820
m01oak06207cC	AT2G20690
m01oak06208CC	AT1G19640
m01oak06209cC	AT4G25880
m01oak06210CF	AT1G12370
m01oak06212CC	AT5G53330
m01oak06213cC	AT5G59500
m01oak06214CC	AT3G02490
m01oak06215cF	AT3G57300
m01oak06216cC	AT4G28640
m01oak06217Ct	AT3G28340
m01oak06219Ct	AT5G26110
m01oak06220cC	AT1G17330
m01oak06222cC	AT4G22950
m01oak06223jc	AT3G23900
m01oak06225cF	AT1G06290
m01oak06226CC	AT1G60670
m01oak06229CC	AT4G26860
m01oak06230CC	AT4G32900
m01oak06231cC	AT2G17510
m01oak06233cC	AT3G57340
m01oak06234cC	AT3G55960
m01oak06236Ct	AT4G22300
m01oak06238JT	AT3G06030
m01oak06240JC	AT2G32990
m01oak06241cC	AT3G62370
m01oak06242CC	AT4G28990
m01oak06245Ci	AT5G39900
m01oak06248CC	AT2G46580
m01oak06249CC	AT1G01510
m01oak06252cC	AT5G22370
m01oak06254cC	AT5G08540
m01oak06255CC	AT2G31320
m01oak06256CC	AT5G51410
m01oak06257cC	AT5G06700
m01oak06258Ct	AT2G26340
m01oak06259cC	AT5G49760
m01oak06260cT	AT5G58375
m01oak06261JC	AT1G70950
m01oak06263cC	AT2G43560
m01oak06264CC	AT4G12570
m01oak06265cC	AT1G44446
m01oak06266jC	AT3G29185
m01oak06267CC	AT5G58040
m01oak06270cC	AT3G63470
m01oak06273CC	AT4G12230
m01oak06279JC	AT5G60690
m01oak06280CC	AT2G42590
m01oak06281Ct	AT3G08650
m01oak06283cC	AT5G49030
m01oak06284CC	AT4G24500
m01oak06285CC	AT3G61540
m01oak06288cC	AT5G13280
m01oak06291CT	AT1G33810
m01oak06293cC	AT1G28320
m01oak06295cC	AT1G74640
m01oak06299CC	AT2G33730
m01oak06300Ct	AT1G69680
m01oak06304cC	AT3G59040
m01oak06305CC	AT1G47380
m01oak06306CC	AT3G06170
